site	decor	a	b	type
1	Badalona	stele_2_aaa	1	2	=
2	Badalona	stele_2_aaa	2	3	=
3	Badalona	stele_2_aaa	3	4	=
4	Badalona	stele_2_aaa	4	5	=
5	Badalona	stele_2_aaa	1	6	=
6	Badalona	stele_2_aaa	2	6	=
7	Badalona	stele_2_aaa	3	6	=
8	Badalona	stele_2_aaa	4	6	=
9	Badalona	stele_2_aaa	5	6	=
10	Badalona	stele_2_aaa	6	7	=
11	Tossal de les Forques	stele	1	4	=
12	Tossal de les Forques	stele	4	5	=
13	Tossal de les Forques	stele	1	3	=
14	Tossal de les Forques	stele	4	3	=
15	Tossal de les Forques	stele	5	3	=
16	Tossal de les Forques	stele	3	6	=
17	Tossal de les Forques	stele	3	7	=
18	Tossal de les Forques	stele	3	8	=
19	Tossal de les Forques	stele	6	7	=
20	Tossal de les Forques	stele	7	8	=
21	Tossal de les Forques	stele	2	3	+
22	Sebastia de la Guarda	stele_2_aaa	1	2	=
23	Sebastia de la Guarda	stele_2_aaa	2	3	=
24	Sebastia de la Guarda	stele_2_aaa	3	4	=
25	Sebastia de la Guarda	stele_2_aaa	4	5	=
26	Sebastia de la Guarda	stele_2_aaa	5	6	=
27	Sebastia de la Guarda	stele_2_aaa	6	7	=
28	Sebastia de la Guarda	stele_2_aaa	7	8	=
29	Sebastia de la Guarda	stele_2_aaa	8	9	=
30	Sebastia de la Guarda	stele_2_aaa	9	10	=
31	Sebastia de la Guarda	stele_2_aaa	1	11	=
32	Sebastia de la Guarda	stele_2_aaa	2	11	=
33	Sebastia de la Guarda	stele_2_aaa	3	11	=
34	Sebastia de la Guarda	stele_2_aaa	4	11	=
35	Sebastia de la Guarda	stele_2_aaa	5	11	=
36	Sebastia de la Guarda	stele_2_aaa	6	11	=
37	Sebastia de la Guarda	stele_2_aaa	7	11	=
38	Sebastia de la Guarda	stele_2_aaa	8	11	=
39	Sebastia de la Guarda	stele_2_aaa	9	11	=
40	Sebastia de la Guarda	stele_2_aaa	10	11	=
41	Sebastia de la Guarda	stele_2_aaa	11	12	=
42	Sebastia de la Guarda	stele_2_aaa	11	13	=
43	Sebastia de la Guarda	stele_2_aaa	11	14	=
44	Sebastia de la Guarda	stele_2_aaa	11	15	=
45	Sebastia de la Guarda	stele_2_aaa	11	16	=
46	Sebastia de la Guarda	stele_2_aaa	11	17	=
47	Sebastia de la Guarda	stele_2_aaa	11	18	=
48	Sebastia de la Guarda	stele_2_aaa	11	19	=
49	Sebastia de la Guarda	stele_2_aaa	12	13	=
50	Sebastia de la Guarda	stele_2_aaa	13	14	=
51	Sebastia de la Guarda	stele_2_aaa	14	15	=
52	Sebastia de la Guarda	stele_2_aaa	15	16	=
53	Sebastia de la Guarda	stele_2_aaa	16	17	=
54	Sebastia de la Guarda	stele_2_aaa	17	18	=
55	Sebastia de la Guarda	stele_2_aaa	18	19	=
56	Badalona	stele_1_aaa	2	3	=
57	Badalona	stele_1_aaa	3	4	=
58	Badalona	stele_1_aaa	3	5	=
59	Badalona	stele_1_aaa	3	6	=
60	Badalona	stele_1_aaa	3	7	=
61	Badalona	stele_1_aaa	4	5	=
62	Badalona	stele_1_aaa	5	6	=
63	Badalona	stele_1_aaa	6	7	=
64	Badalona	stele_1_aaa	7	8	=
65	Badalona	stele_1_aaa	6	8	=
66	Badalona	stele_1_aaa	5	8	=
67	Badalona	stele_1_aaa	4	8	=
68	Badalona	stele_1_aaa	8	9	=
69	Badalona	stele_1_aaa	1	9	=
70	Badalona	stele_1_aaa	1	10	=
71	Sebastia de la Guarda	stele_1_aaa	1	2	=
72	Sebastia de la Guarda	stele_1_aaa	2	3	=
73	Sebastia de la Guarda	stele_1_aaa	3	NA	=
74	Sebastia de la Guarda	stele_1_aaa	4	5	=
75	Sebastia de la Guarda	stele_1_aaa	5	6	=
76	Sebastia de la Guarda	stele_1_aaa	6	7	=
77	Sebastia de la Guarda	stele_1_aaa	7	8	=
78	Sebastia de la Guarda	stele_1_aaa	8	9	=
79	Sebastia de la Guarda	stele_1_aaa	9	10	=
80	Sebastia de la Guarda	stele_1_aaa	10	11	=
81	Sebastia de la Guarda	stele_1_aaa	1	2	=
82	Sebastia de la Guarda	stele_1_aaa	2	12	=
83	Sebastia de la Guarda	stele_1_aaa	3	12	=
84	Sebastia de la Guarda	stele_1_aaa	4	12	=
85	Sebastia de la Guarda	stele_1_aaa	5	12	=
86	Sebastia de la Guarda	stele_1_aaa	6	12	=
87	Sebastia de la Guarda	stele_1_aaa	7	12	=
88	Sebastia de la Guarda	stele_1_aaa	8	12	=
89	Sebastia de la Guarda	stele_1_aaa	9	12	=
90	Sebastia de la Guarda	stele_1_aaa	10	12	=
91	Sebastia de la Guarda	stele_1_aaa	11	12	=
92	Sebastia de la Guarda	stele_1_aaa	12	13	=
93	Sebastia de la Guarda	stele_1_aaa	12	14	=
94	Sebastia de la Guarda	stele_1_aaa	13	14	=
